Timestamp,AccelX,AccelY,AccelZ
7.407218,-0.456802,0.261444,-1.282196
7.426035,-0.42276,0.284256,-1.278885
7.426252,-0.415558,0.30687,-1.256851
7.445336,-0.43248,0.321106,-1.235123
7.445527,-0.469925,0.32753,-1.22319
7.464522,-0.503082,0.324432,-1.198502
7.464712,-0.521973,0.328293,-1.231644
7.483721,-0.523239,0.336914,-1.262665
7.483914,-0.509537,0.351959,-1.277679
7.503056,-0.484772,0.357651,-1.306458
7.503255,-0.47821,0.361908,-1.326324
7.522095,-0.482727,0.360504,-1.326935
7.522316,-0.495544,0.356155,-1.331131
7.541207,-0.521683,0.348984,-1.327103
7.541433,-0.537811,0.320175,-1.248154
7.560507,-0.514709,0.271362,-1.215897
7.560712,-0.466034,0.259949,-1.506821
7.579669,-0.42189,0.298737,-1.532043
7.579876,-0.425964,0.334747,-1.193848
7.598837,-0.43158,0.345734,-1.132797
7.599036,-0.420853,0.374435,-1.265152
7.618003,-0.407654,0.404892,-1.331924
7.618225,-0.403305,0.404419,-1.194183
7.637209,-0.428299,0.378006,-1.095367
7.637403,-0.462082,0.346512,-1.182816
7.656397,-0.453262,0.279633,-1.30011
7.656588,-0.3573,0.216232,-1.306229
7.675603,-0.281158,0.227097,-1.232162
7.675793,-0.256958,0.269806,-1.125076
7.694766,-0.253738,0.314178,-1.05191
7.694963,-0.259018,0.34581,-1.031555
7.71394,-0.254074,0.343445,-1.046844
7.71416,-0.271942,0.331726,-1.065384
7.733132,-0.29744,0.327606,-1.072327
7.733326,-0.296402,0.307617,-1.053329
7.752315,-0.265381,0.241714,-1.035675
7.752508,-0.244812,0.164536,-1.046677
7.771514,-0.244339,0.110794,-1.066772
7.771705,-0.227661,0.107422,-1.078659
7.790689,-0.198822,0.164963,-1.072342
7.790881,-0.183212,0.235245,-1.046204
7.809833,-0.178558,0.287964,-1.005447
7.810058,-0.18631,0.316757,-0.989105
7.829073,-0.205673,0.314438,-1.015686
7.829266,-0.237106,0.290573,-1.038971
7.848249,-0.266479,0.257614,-1.036118
7.848441,-0.258057,0.243515,-1.009125
7.867435,-0.245911,0.222366,-0.989914
7.867627,-0.214249,0.194077,-0.976669
7.886602,-0.180954,0.184143,-0.970154
7.886794,-0.160553,0.185242,-0.968964
7.905789,-0.148941,0.209152,-0.963943
7.906013,-0.145798,0.241852,-0.967361
7.924975,-0.152328,0.249115,-0.974075
7.925169,-0.164948,0.226532,-0.989136
7.944158,-0.169312,0.199432,-1.004044
7.944351,-0.164948,0.183411,-0.997437
7.963343,-0.147156,0.191864,-0.972565
7.963534,-0.110794,0.203125,-0.940674
7.982543,-0.071823,0.223297,-0.928497
7.982734,-0.034271,0.230438,-0.925186
8.001807,-0.007706,0.219376,-0.941315
8.002056,0.004578,0.20047,-0.95459
8.020926,0.016037,0.19133,-0.963196
8.021119,0.022736,0.190964,-0.962067
8.04013,0.007217,0.183868,-0.958542
8.040329,0.007492,0.178589,-0.943161
8.059266,0.009201,0.187103,-0.918869
8.059453,0.028732,0.207947,-0.887527
8.078488,0.049271,0.212708,-0.862625
8.078681,0.057602,0.190277,-0.833237
8.097679,0.076447,0.169601,-0.824875
8.097916,0.091644,0.165894,-0.822876
8.116857,0.101044,0.17514,-0.810623
8.117055,0.112503,0.193283,-0.791946
8.13601,0.12854,0.2005,-0.783997
8.136206,0.140167,0.199493,-0.776901
8.155168,0.136932,0.187393,-0.756989
8.155359,0.137405,0.165283,-0.743149
8.174374,0.148911,0.157761,-0.744202
8.174566,0.150726,0.151245,-0.731216
8.193485,0.147614,0.158768,-0.671356
8.193707,0.163651,0.153397,-0.626816
8.212754,0.177261,0.141006,-0.608017
8.212953,0.188538,0.124649,-0.577271
8.231909,0.194016,0.108688,-0.55574
8.2321,0.202774,0.093033,-0.566162
8.251108,0.205948,0.078278,-0.586212
8.251303,0.2052,0.086395,-0.617233
8.270292,0.200745,0.107407,-0.658279
8.270485,0.192215,0.110931,-0.680206
8.289495,0.169617,0.087875,-0.678375
8.289717,0.139694,0.083191,-0.668289
8.308505,0.126099,0.092636,-0.638458
8.3087,0.125961,0.124969,-0.622864
8.327873,0.130875,0.163589,-0.635971
8.328068,0.127655,0.178192,-0.625
8.347043,0.126541,0.191727,-0.610016
8.347237,0.126053,0.195526,-0.647903
8.366157,0.128204,0.150589,-0.724609
8.366362,0.139267,0.06929,-0.793762
8.38541,0.141876,0.014114,-0.798935
8.385633,0.148819,0.015106,-0.786789
8.404582,0.153061,0.111832,-0.799103
8.404774,0.135361,0.217606,-0.773956
8.423826,0.109955,0.254395,-0.669434
8.424026,0.085602,0.238693,-0.569077
8.442922,0.079208,0.213531,-0.5569
8.443112,0.092773,0.144211,-0.632767
8.462088,0.118073,0.000534,-0.716385
8.462281,0.137085,-0.09668,-0.767609
8.481309,0.113541,-0.058258,-0.858597
8.481533,0.066147,0.132431,-0.923828
8.500483,0.016022,0.277466,-0.910645
8.500677,-0.031342,0.333481,-0.881531
8.519726,-0.074036,0.327911,-0.836044
8.519932,-0.098831,0.298737,-0.755798
8.538854,-0.115067,0.277893,-0.691986
8.539047,-0.144241,0.245178,-0.664917
8.558027,-0.189911,0.160278,-0.663681
8.558219,-0.173523,0.030609,-0.714905
8.577212,-0.111252,-0.083878,-0.803421
8.577434,-0.037613,-0.047318,-0.902847
8.596407,-0.00621,0.096268,-0.988647
8.596601,-0.036362,0.247375,-1.006546
8.615568,-0.077988,0.338577,-0.970276
8.615763,-0.115387,0.330093,-0.909256
8.634776,-0.158569,0.301575,-0.837494
8.634971,-0.234253,0.256699,-0.779968
8.653964,-0.335373,0.172592,-0.80925
8.654153,-0.391434,0.051361,-0.892288
8.67315,-0.388214,-0.060837,-0.908493
8.673372,-0.350494,-0.101028,-1.009842
8.692336,-0.244751,-0.007233,-1.179901
8.692523,-0.138107,0.184921,-1.248398
8.711498,-0.094635,0.323013,-1.193161
8.711691,-0.107605,0.388657,-1.140518
8.730689,-0.146652,0.41095,-1.128281
8.730884,-0.210266,0.41188,-1.158478
8.74988,-0.285263,0.381897,-1.151459
8.750073,-0.364822,0.337433,-1.10524
8.76906,-0.438766,0.304382,-1.110199
8.769284,-0.474365,0.298065,-1.15036
8.788246,-0.490311,0.330185,-1.183762
8.78844,-0.486038,0.35257,-1.182571
8.807433,-0.493179,0.33638,-1.238068
8.807626,-0.457718,0.235291,-1.325134
8.826606,-0.387375,0.143219,-1.375229
8.826926,-0.342697,0.114944,-1.384949
8.845857,-0.360596,0.155777,-1.334244
8.84605,-0.428284,0.237686,-1.249207
8.865029,-0.484497,0.315582,-1.225769
8.86526,-0.469284,0.367493,-1.265488
8.88421,-0.441208,0.401367,-1.310165
8.884404,-0.432892,0.428833,-1.336227
8.90339,-0.43869,0.439285,-1.346573
8.903581,-0.461395,0.448288,-1.352875
8.922855,-0.500687,0.459167,-1.395935
8.923052,-0.537506,0.456482,-1.428055
8.9417,-0.548523,0.441895,-1.41394
8.94189,-0.536057,0.406952,-1.384048
8.960995,-0.492874,0.358704,-1.346237
8.961221,-0.421555,0.296936,-1.327438
8.980166,-0.388138,0.268158,-1.317352
8.98036,-0.383041,0.300339,-1.32048
8.99932,-0.376709,0.350082,-1.277054
8.999515,-0.364899,0.371429,-1.209686
9.018551,-0.336014,0.384537,-1.155716
9.018749,-0.305801,0.370255,-1.123596
9.037693,-0.312271,0.360626,-1.125015
9.037885,-0.331131,0.363602,-1.17038
9.056872,-0.332153,0.362076,-1.211731
9.057092,-0.313736,0.3078,-1.214081
9.076011,-0.310959,0.232651,-1.148209
9.0762,-0.294693,0.208389,-1.06926
9.095112,-0.263031,0.226334,-1.015915
9.095327,-0.240997,0.26976,-1.002991
9.114516,-0.234314,0.318649,-1.043396
9.114719,-0.232254,0.342484,-1.088684
9.133635,-0.242722,0.336548,-1.087494
9.13383,-0.251984,0.316025,-1.070175
9.152942,-0.24939,0.28978,-1.061478
9.153176,-0.231476,0.262833,-1.059036
9.172008,-0.21727,0.252075,-1.035553
9.172201,-0.218216,0.247559,-0.996017
9.191149,-0.209274,0.2556,-0.985275
9.191331,-0.203094,0.277328,-0.994308
9.210301,-0.207214,0.296402,-0.99086
9.210495,-0.222656,0.306137,-1.010712
9.229559,-0.228668,0.290787,-1.051743
9.229749,-0.210129,0.275253,-1.06929
9.248777,-0.192703,0.272659,-1.036621
9.249002,-0.169846,0.283646,-1.002609
9.26794,-0.169586,0.284882,-0.981796
9.268134,-0.166809,0.272827,-0.97522
9.287122,-0.174362,0.267715,-0.98764
9.287313,-0.171677,0.279022,-1.002914
9.306318,-0.171661,0.292252,-1.006027
9.30651,-0.168091,0.309097,-1.011703
9.325516,-0.161407,0.332397,-1.0354
9.325722,-0.151657,0.337357,-1.034927
9.344706,-0.13324,0.313385,-1.015091
9.344934,-0.123764,0.279572,-0.992584
9.363866,-0.12262,0.275055,-0.985275
9.364058,-0.118469,0.280945,-0.993942
9.383057,-0.108002,0.266342,-0.995026
9.38325,-0.101212,0.2491,-0.989838
9.40224,-0.103851,0.241959,-1.004852
9.402433,-0.10289,0.244293,-0.99675
9.421417,-0.091766,0.250595,-0.960526
9.421609,-0.082153,0.262527,-0.926529
9.440691,-0.079041,0.265686,-0.90567
9.44092,-0.069656,0.262589,-0.880066
9.459751,-0.073105,0.255081,-0.856689
9.459944,-0.065948,0.260849,-0.859924
9.478991,-0.036804,0.271225,-0.873444
9.479184,0.019318,0.273712,-0.879532
9.498171,0.070511,0.262161,-0.86409
9.498362,0.107346,0.248154,-0.848953
9.517392,0.124969,0.222656,-0.845306
9.517584,0.126526,0.196274,-0.845169
9.536403,0.133316,0.179108,-0.851715
9.536627,0.132614,0.180984,-0.842926
9.555711,0.12944,0.192917,-0.784256
9.555903,0.125214,0.189896,-0.717621
9.574883,0.132523,0.170822,-0.653992
9.575075,0.156082,0.153488,-0.623047
9.594082,0.18895,0.134583,-0.596542
9.594273,0.215057,0.126511,-0.569611
9.613294,0.215378,0.121887,-0.545944
9.613491,0.220398,0.122665,-0.533585
9.632476,0.2164,0.12413,-0.527817
9.632707,0.216827,0.118668,-0.519745
9.651697,0.218384,0.111176,-0.526871
9.651894,0.240555,0.092239,-0.554108
9.670854,0.263519,0.079758,-0.567856
9.671049,0.285538,0.068787,-0.585068
9.690116,0.294876,0.067978,-0.593399
9.690317,0.276321,0.074738,-0.576172
9.70925,0.252487,0.084061,-0.540207
9.709444,0.221878,0.110428,-0.509674
9.728408,0.196777,0.140625,-0.505646
9.72863,0.181717,0.158829,-0.518326
9.747639,0.181519,0.149582,-0.544785
9.747832,0.187103,0.10997,-0.572769
